millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
