millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
280599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
