millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1882375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
