millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2032	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2064	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2096	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
