millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
53759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54193	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
54227	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
54260	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
54294	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
54327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56059	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
56092	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
56126	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
56159	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
56197	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
56225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
