millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
