millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2234	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2267	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2300	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2333	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2366	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2400	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2432	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2464	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2499	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2533	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2566	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2599	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2632	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2667	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2700	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2732	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2767	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2798	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2832	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2865	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2900	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2932	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2966	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3001	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3033	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3066	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3100	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3133	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3167	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3199	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3232	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3266	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3301	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3333	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3402	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3435	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3468	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3498	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3535	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3565	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3601	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3635	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3667	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3700	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3734	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3767	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3801	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3833	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3866	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3900	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3935	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3964	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4032	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4067	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4133	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4166	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
