millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1473876	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1473939	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474001	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474065	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474127	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474190	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1474316	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474377	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474437	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1474565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1474627	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474688	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474748	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474812	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474876	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1474939	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475002	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475069	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475126	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475186	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475251	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1475375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1475436	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475501	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475565	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1475691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1475752	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1475816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1475876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1475940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1476000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476063	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476127	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476189	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1476315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1476380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476438	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476501	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1476626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1476689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1476752	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476817	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476876	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1476937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1476998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1477065	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477133	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1477255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1477315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1477376	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477437	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1477569	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477631	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477688	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477752	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477817	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477878	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1477935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1478001	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478066	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478127	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1478254	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478315	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1478436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1478506	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478563	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1478690	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1478819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1478877	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1478941	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479002	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479066	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479125	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479188	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479252	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1479377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1479437	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479500	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479564	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1479692	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479748	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479814	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479877	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1479939	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1480003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480376	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1480438	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1480498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480625	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1480686	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1480753	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1480811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1480936	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1481002	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1481064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481127	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1481190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1481816	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1481875	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1481935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482001	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1482065	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1482125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483192	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1483254	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1483314	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1483380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483500	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1483564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483690	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1483753	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1483812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1483937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484377	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1484436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1484940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485124	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1485188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485311	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1485375	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1485436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485563	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1485624	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1485691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485813	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1485873	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1485940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486439	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1486502	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1486564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486817	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1486877	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1486938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487065	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1487128	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1487187	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1487252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1487438	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1487501	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1487566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1488004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1488061	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1488128	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1488189	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
1488250	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1488316	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1488377	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1488441	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1488500	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1488565	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1488628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1488691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1488753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1488817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1488879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1488940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489378	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1489439	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1489504	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1489566	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1489624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489753	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1489814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1489874	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1489940	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1490000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490064	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1490123	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1490189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490251	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1490313	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1490377	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1490439	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1490500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490631	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1490692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1491940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492500	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1492562	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1492625	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1492688	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1492750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492812	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1492873	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1492939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1493876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
