millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5144	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5397	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6147	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7395	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7646	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7896	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8147	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8395	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8896	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9147	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9396	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9646	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9900	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10145	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10651	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
