millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
