millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4212	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4244	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4277	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4310	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4341	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4374	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4407	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4442	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4477	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4507	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4543	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4577	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4611	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4645	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4675	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4709	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4743	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4777	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4809	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4843	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4876	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4909	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4942	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4976	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5009	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5042	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5075	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5107	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5141	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5174	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5208	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5242	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5275	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5309	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5342	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
