millis	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	dn	lf	rt
1415060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1415812	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1415873	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1415940	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1415999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1416940	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1417003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1417937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1418565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
