This	0.10825	0.2
no	0.0915	0.2
space	0.12	0.2
thing	0.0832	0.2
is	0.0835	0.2
hard	0.1425	0.2
as	0.1165	0.2
fuck.	0.3198	0.2
And	0.100333333333333	0.2
to	0.09	0.2
top	0.105333333333333	0.2
it	0.075	0.2
off	0.267333333333333	0.2
every	0.2234	0.221863636363636
sentence	0.139625	0.221863636363636
ending	0.144333333333333	0.221863636363636
is	0.0925	0.2085
going	0.0898	0.2085
to	0.1085	0.2085
get	0.111666666666667	0.2085
flagged	0.156857142857143	0.2085
since	0.1398	0.385666666666667
there	0.1466	0.227558823529412
is	0.084	0.227558823529412
a	0.067	0.227558823529412
natural	0.15	0.227558823529412
vocal	0.1304	0.227558823529412
pause	0.12	0.227558823529412
at	0.4505	0.227558823529412
phrasal	0.166428571428571	0.367470588235294
endings.	0.223	0.367470588235294
More	0.12575	0.39936
code	0.11275	0.39936
it	0.0925	0.39936
looks	0.1196	0.39936
like.	0.1436	0.39936
I	0.119	0.209076923076923
think	0.1132	0.209076923076923
that	0.108	0.209076923076923
the	0.111	0.209076923076923
saddest	0.171285714285714	0.209076923076923
part	0.1415	0.209076923076923
to	0.0835	0.209076923076923
me	0.0835	0.209076923076923
is	0.0825	0.209076923076923
how	0.0886666666666667	0.222222222222222
brittle	0.130857142857143	0.222222222222222
this	0.09175	0.222222222222222
system	0.1805	0.222222222222222
is.	0.745	0.222222222222222
I	0.134	0.209184210526316
really	0.1585	0.209184210526316
do	0.125	0.209184210526316
need	0.142	0.209184210526316
to	0.0915	0.209184210526316
be	0.0665	0.209184210526316
looking	0.176142857142857	0.209184210526316
at	0.1015	0.209184210526316
the	0.195333333333333	0.209184210526316
spaces	0.214333333333333	0.297153846153846
that	0.19975	0.297153846153846
occur	0.2304	0.297153846153846
before	0.161	0.297153846153846
and	0.0953333333333333	0.297153846153846
after	0.1972	0.297153846153846
words.	0.355333333333333	0.297153846153846
More	0.13375	0.297153846153846
like	0.12975	0.297153846153846
does	0.1835	0.294444444444444
the	0.111	0.294444444444444
space	0.2698	0.424833333333333
come	0.2125	0.213703703703704
right	0.1132	0.213703703703704
after	0.1664	0.213703703703704
a	0.083	0.213703703703704
word	0.17925	0.213703703703704
or	0.1065	0.213703703703704
right	0.7032	0.7032
before	0.150666666666667	0.395393442622951
the	0.183	0.395393442622951
next	0.183	0.395393442622951
word.	0.277	0.395393442622951
Hmmm	0.24125	0.395393442622951
that	0.15	0.395393442622951
is	0.1335	0.395393442622951
an	0.192	0.395393442622951
interesting	0.184909090909091	0.395393442622951
question.	0.218444444444444	0.395393442622951
I	0.199	0.187942528735632
would	0.0904	0.187942528735632
think	0.1402	0.187942528735632
that	0.1165	0.187942528735632
if	0.0745	0.187942528735632
it	0.0835	0.187942528735632
comes	0.1004	0.187942528735632
immediately	0.145181818181818	0.187942528735632
after	0.0874	0.187942528735632
a	0.052	0.187942528735632
word	0.17075	0.187942528735632
then	0.12925	0.187942528735632
that	0.1205	0.187942528735632
would	0.1472	0.187942528735632
imply	0.15	0.187942528735632
a	0.117	0.187942528735632
continuation	0.480666666666667	0.187942528735632
of	0.1585	0.6076
thought	0.216857142857143	0.6076
and	0.0786666666666667	0.729
if	0.092	0.729
wait	0.129	0.322875
no	0.416	0.322875
if	0.1005	0.829583333333333
it	0.1075	0.829583333333333
comes	0.14	0.829583333333333
right	0.093	0.413764705882353
after	0.1004	0.413764705882353
then	0.10025	0.413764705882353
ideas	0.1528	0.185416666666667
are	0.122333333333333	0.185416666666667
being	0.0806	0.185416666666667
composed	0.114875	0.185416666666667
in	0.067	0.185416666666667
advance	0.171285714285714	0.185416666666667
of	0.084	0.185416666666667
the	0.0936666666666667	0.185416666666667
next	0.154	0.185416666666667
sequence	0.141625	0.231411764705882
of	0.067	0.231411764705882
words.	0.4415	0.231411764705882
If	0.391	1.07166666666667
the	0.184	0.223462962962963
pause	0.1432	0.223462962962963
occurs	0.164333333333333	0.223462962962963
on	0.1005	0.223462962962963
the	0.105666666666667	0.223462962962963
final	0.0996	0.223462962962963
letter	0.131	0.223462962962963
of	0.0755	0.223462962962963
a	0.1	0.223462962962963
word	0.16225	0.223462962962963
and	0.345	0.223462962962963
then	0.46675	0.223462962962963
the	0.133333333333333	0.26025641025641
space	0.1402	0.26025641025641
is	0.074	0.26025641025641
closer	0.150166666666667	0.26025641025641
to	0.168	0.26025641025641
the	0.0993333333333333	0.26025641025641
next	0.146	0.26025641025641
word	0.29175	0.26025641025641
I	0.334	0.341
would	0.0768	0.341
think	0.6532	0.341
that	0.1625	0.355666666666667
implies	0.783142857142857	0.355666666666667
revision	0.1835	0.24672
type	0.1915	0.24672
of	0.083	0.24672
behavior.	0.372333333333333	0.24672
Whoa	0.19175	0.196193548387097
maybe	0.12	0.196193548387097
onto	0.22075	0.196193548387097
something	0.109555555555556	0.196193548387097
here.	0.3862	0.196193548387097
Bottom	0.255333333333333	0.396428571428571
line	0.12075	0.396428571428571
is	0.084	0.396428571428571
that	0.1095	0.396428571428571
i	0.084	0.396428571428571
can't	0.1532	0.396428571428571
ignore	0.119666666666667	0.396428571428571
pauses.	1.76214285714286	0.396428571428571
